L. psoas major,37.98897967784093
R. psoas major,37.46452163932487
L. iliacus,28.652182264852
R. iliacus,28.7516055834157
L. gluteus medius,21.73177243573204
R. gluteus medius,22.049003373559177
L. gluteus maximus,34.85194242959815
R. gluteus maximus,33.918753337591895
L. gluteus minimus,14.749626511619388
R. gluteus minimus,14.590583539083363
L. piriformis,6.210699903964996
R. piriformis,6.4059998989105225
L. external rotators,6.835499823093414
R. external rotators,6.835499823093414
L. quadratus femoris,7.495125661101234
R. quadratus femoris,7.284403195989739
L. obturator internus,9.04016038484016
R. obturator internus,8.486153103094257
L. obturator externus,8.00729979276657
R. obturator externus,8.397899782657623
L. pectineus,13.250945994039082
R. pectineus,12.948994761249434
L. tensor fasciae latae,16.554076697623913
R. tensor fasciae latae,16.416076726591207
L. rectus femoris,35.30785139737042
R. rectus femoris,35.474019288383964
L. vastus lateralis,40.12609419735145
R. vastus lateralis,41.222351542760435
L. vastus intermedius,33.503600277562484
R. vastus intermedius,32.50476915975394
L. vastus medialis,35.02107874099723
R. vastus medialis,34.958185321889054
L. sartorius,54.71925185297901
R. sartorius,55.006224733503416
L. adductor brevis,15.130293142749252
R. adductor brevis,15.478622082930064
L. adductor magnus,34.73812092544156
R. adductor magnus,34.46870473586941
L. adductor longus,22.85432974084696
R. adductor longus,22.720037598701996
L. gracilis,33.343151582131355
R. gracilis,33.27979894531044
L. semitendinosus,29.280750181742075
R. semitendinosus,29.753751781345425
L. semimembranosus,29.268109821865465
R. semimembranosus,29.194564262701157
L. biceps femoris: long head,30.644891286441243
R. biceps femoris: long head,29.98569648188697
L. biceps femoris: short head,25.18890433712257
R. biceps femoris: short head,26.69599714696788
L. popliteus,9.83065785479273
R. popliteus,10.525579344383454
L. gastrocnemius (medial head),29.189856252418842
R. gastrocnemius (medial head),30.869890113431886
L. gastrocnemius (lateral head),24.702773049270682
R. gastrocnemius (lateral head),25.889874313073797
L. soleus,35.946607811327176
R. soleus,35.30328876508683
L. tibialis anterior,31.190043097511136
R. tibialis anterior,31.746747113322265
L. phalangeal extensors,36.46751431669884
R. phalangeal extensors,37.22380506102106
L. fibulari,35.89336873105655
R. fibulari,36.287517957874385
L. tibialis posterior,31.350991607207625
R. tibialis posterior,31.4834563224807
L. flexor digitorum longus,20.345558630361374
R. flexor digitorum longus,22.03562466405582
L. flexor hallucis longus,22.466503940503497
R. flexor hallucis longus,22.021809385302188
